Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",7.2,30,9.3913,1.1739,8,0,0.2667,0.0333,0.2333,0.178571428,0.7826,0.25,0.4286,1.851068802336426,2.3608911454238326,1943
2020,"Ivan Nova","DET",6,26,4.5,6,0.75,3,0.1154,0.1538,-0.0385,0.227272727,1.5,0.1765,0.6452,8.488744290336426,6.109738436341287,1994
2020,"Clayton Kershaw","LAD",5.1,16,10.1251,0,6,1.6875,0.375,0,0.375,0.0625,0.1875,0,1,3.342912128336426,2.004712972414254,2036
2020,"Lance Lynn","TEX",12,43,5.25,0,7,0.75,0.1628,0,0.1628,0.139534883,0.5,0.1429,1,3.0720776243364263,4.2687930161754295,2520
2020,"Rick Porcello","NYM",7,30,9,0,7,0,0.2333,0,0.2333,0.3,1.2857,0.3913,0.6667,1.155410957336426,2.830548796483449,2717
2020,"Max Scherzer","WSN",11.1,48,11.1177,3.9706,2.8,1.5882,0.2917,0.1042,0.1875,0.261904761,1.4118,0.3333,0.9848,4.302473154336425,4.250083932291926,3137
2020,"Jake Arrieta","PHI",6.1,29,5.6842,4.2632,1.3333,2.8421,0.1379,0.1034,0.0345,0.32,1.7369,0.3,0.7317,7.418591289336426,4.5476251136245285,4153
2020,"Matt Shoemaker","TOR",13.2,54,7.2439,1.9756,3.6667,2.6341,0.2037,0.0556,0.1481,0.18,0.878,0.1389,0.7813,6.009062533336426,3.920184439454151,4776
2020,"David Phelps","MIL",6.1,23,12.7895,1.4211,9,1.4211,0.3913,0.0435,0.3478,0.095238095,0.4737,0.0909,0.3846,3.313306524336426,2.1864030841920274,6316
2020,"Alex Cobb","BAL",5.1,24,10.1251,1.6875,6,3.375,0.25,0.0417,0.2083,0.217391304,1.125,0.2,1,6.342930878336426,2.5672164880612267,6562
2020,"Carlos Carrasco","CLE",7,28,7.7143,3.8571,2,1.2857,0.2143,0.1071,0.1071,0.24,1.2857,0.2778,0.6579,4.583982385336426,4.40197736791202,6632
