Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Tommy Hunter","PHI",5,23,10,0.411764705,0.588235294,0,0,0,0,0,0.2353,0.4706,0.2941,0.1176,0.4706,0.4118,1157
2020,"Oliver Perez","CLE",6.1,21,3.333333333,0.133333333,0.666666666,0.2,0,0,0,0,0.4667,0.4,0.1333,0.0667,0.6667,0.2667,1514
2020,"Zack Greinke","HOU",17.2,69,1.1875,0.285714285,0.387755102,0.326530612,0.125,0,0.052631578,0,0.32,0.36,0.32,0.26,0.38,0.36,1943
2020,"Ivan Nova","DET",9,43,1.909090909,0.058823529,0.617647058,0.323529411,0,0.181818181,0,0,0.3784,0.4324,0.1892,0.1081,0.4324,0.4595,1994
2020,"Adam Wainwright","STL",20,80,1.611111111,0.229508196,0.475409836,0.295081967,0.055555555,0.111111111,0.137931034,0,0.4444,0.4444,0.1111,0.1429,0.5079,0.3492,2233
2020,"Hector Rondon","ARI",5,24,0.714285714,0.2,0.333333333,0.466666666,0.142857142,0.142857142,0,0,0.4667,0.0667,0.4667,0.1333,0.4667,0.4,2391
2020,"Lance Lynn","TEX",23,92,0.565217391,0.265306122,0.265306122,0.469387755,0.260869565,0.086956521,0,0,0.3469,0.2857,0.3673,0.1837,0.4286,0.3878,2520
2020,"Rick Porcello","NYM",11,53,1,0.368421052,0.315789473,0.315789473,0.333333333,0.083333333,0,0,0.4737,0.4211,0.1053,0.2105,0.2632,0.5263,2717
2020,"Ross Detwiler","CHW",6,19,0.75,0.125,0.375,0.5,0.125,0,0,0,0.5,0.1875,0.3125,0.125,0.5,0.375,2859
2020,"Luis Avilan","NYY",5.2,26,1.666666666,0.157894736,0.526315789,0.315789473,0,0.166666666,0.2,0,0.5263,0.2632,0.2105,0.1053,0.5789,0.3158,2882
2020,"Kenley Jansen","LAD",5.1,18,0.285714285,0.181818181,0.181818181,0.636363636,0.285714285,0,0,0,0.4545,0.1818,0.3636,0.3636,0.4545,0.1818,3096
2020,"Tony Watson","SFG",6,22,1.333333333,0.125,0.5,0.375,0.166666666,0,0,0,0.4375,0.375,0.1875,0.25,0.3125,0.4375,3132
2020,"Max Scherzer","WSN",11,55,1.714285714,0.344827586,0.413793103,0.24137931,0,0.285714285,0.083333333,1,0.3667,0.2333,0.4,0.2,0.4333,0.3667,3137
2020,"T.J. McFarland","OAK",7.2,29,4,0.2,0.64,0.16,0,0,0,0,0.52,0.32,0.16,0.16,0.36,0.48,3237
2020,"Zack Britton","NYY",5.1,23,4,0.285714285,0.571428571,0.142857142,0,0,0.25,0,0.1429,0.3571,0.5,0.4286,0.4286,0.1429,3240
2020,"Jeff Samardzija","SFG",9.2,42,0.428571428,0.189189189,0.243243243,0.567567567,0.238095238,0.142857142,0,0,0.5263,0.2895,0.1842,0.2368,0.4211,0.3421,3254
2020,"Anibal Sanchez","WSN",17.1,75,0.592592592,0.218181818,0.29090909,0.49090909,0.037037037,0.185185185,0,0,0.3818,0.3818,0.2364,0.1273,0.4727,0.4,3284
2020,"Danny Duffy","KCR",9,38,1.222222222,0.2,0.44,0.36,0.111111111,0.222222222,0,0,0.4,0.44,0.16,0.08,0.44,0.48,3542
2020,"Liam Hendriks","OAK",10.1,39,1.25,0.28,0.4,0.32,0,0.125,0,0,0.48,0.28,0.24,0.04,0.36,0.6,3548
2020,"Yusmeiro Petit","OAK",7.1,31,0.777777777,0.238095238,0.333333333,0.428571428,0.111111111,0,0,1,0.2273,0.4091,0.3636,0.2273,0.4545,0.3182,4020
2020,"Derek Holland","PIT",17.2,78,1.052631578,0.22,0.4,0.38,0.052631578,0.368421052,0.05,0,0.4706,0.3922,0.1373,0.1176,0.2941,0.5882,4141
2020,"Jake Arrieta","PHI",10.2,41,1.666666666,0.448275862,0.344827586,0.206896551,0,0,0,0,0.3793,0.2414,0.3793,0.0345,0.5517,0.4138,4153
2020,"Mark Melancon","ATL",6,27,1.666666666,0.157894736,0.526315789,0.315789473,0.166666666,0,0,1,0.35,0.25,0.4,0.15,0.65,0.2,4264
2020,"Tyler Chatwood","CHC",12.2,47,1.25,0.25,0.416666666,0.333333333,0,0,0.1,0,0.4167,0.375,0.2083,0.125,0.4583,0.4167,4338
2020,"Charlie Morton","TBR",11.2,54,0.764705882,0.23076923,0.333333333,0.435897435,0.058823529,0.117647058,0.076923076,1,0.375,0.375,0.25,0.1,0.375,0.525,4676
2020,"Nate Jones","CIN",5.2,24,1.2,0.153846153,0.461538461,0.384615384,0,0.4,0.166666666,0,0.2308,0.3846,0.3846,0.1538,0.1538,0.6923,4696
2020,"Rich Hill","MIN",7.2,32,1.375,0.24,0.44,0.32,0,0.125,0,0,0.52,0.32,0.16,0.2,0.4,0.4,4806
2020,"Jon Lester","CHC",15.2,69,1.2,0.214285714,0.428571428,0.357142857,0,0.35,0,0,0.375,0.3929,0.2321,0.0893,0.3929,0.5179,4930
2020,"Jake Diekman","OAK",8,31,2.2,0,0.6875,0.3125,0,0,0.09090909,0,0.5294,0.2941,0.1765,0.1176,0.3529,0.5294,5003
