Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Tommy Hunter","PHI",5,23,7.2,9,3,0,4,4,0,1,0,1,4,0.428571428,0.478260869,0.571428571,0.45348126473634137,1157
2020,"Oliver Perez","CLE",6.1,21,1.4211,3,0,0,1,1,0,2,1,0,4,0.166666666,0.238095238,0.166666666,0.16717394888401033,1514
2020,"Zack Greinke","HOU",17.2,69,2.0377,14,2,1,4,4,0,3,0,0,16,0.212121212,0.246376811,0.272727272,0.22939060995544214,1943
2020,"Ivan Nova","DET",9,43,10,13,3,0,10,10,2,2,0,0,4,0.31707317,0.348837209,0.536585365,0.37499069613079694,1994
2020,"Adam Wainwright","STL",20,80,3.15,16,3,0,9,7,2,3,0,1,13,0.213333333,0.25,0.333333333,0.2524459421634674,2233
2020,"Hector Rondon","ARI",5,24,3.6,6,3,0,3,2,1,3,0,0,6,0.3,0.375,0.6,0.39796629299720127,2391
2020,"Lance Lynn","TEX",23,92,1.5652,12,3,0,4,4,2,11,0,1,31,0.15,0.260869565,0.2625,0.24186674408290698,2520
2020,"Rick Porcello","NYM",11,53,9.8182,20,5,0,13,12,1,3,0,1,10,0.408163265,0.452830188,0.571428571,0.4403132964979927,2717
2020,"Ross Detwiler","CHW",6,19,0,2,1,0,0,0,0,0,0,0,3,0.105263157,0.105263157,0.157894736,0.11156129209618819,2859
2020,"Luis Avilan","NYY",5.2,26,4.7647,7,1,0,3,3,1,2,0,0,5,0.291666666,0.346153846,0.458333333,0.3470451327470633,2882
2020,"Kenley Jansen","LAD",5.1,18,0,1,0,0,0,0,0,1,0,0,6,0.058823529,0.111111111,0.058823529,0.08776563074853685,3096
2020,"Tony Watson","SFG",6,22,0,4,1,0,0,0,0,0,0,0,6,0.181818181,0.181818181,0.227272727,0.1765164624560963,3132
2020,"Max Scherzer","WSN",11,55,7.3636,14,2,0,9,9,2,7,0,1,17,0.304347826,0.4,0.478260869,0.37941347252238883,3137
2020,"T.J. McFarland","OAK",7.2,29,0,5,1,0,0,0,0,0,0,1,3,0.178571428,0.206896551,0.214285714,0.18940715337621755,3237
2020,"Zack Britton","NYY",5.1,23,1.6875,3,1,0,3,1,0,2,0,0,7,0.142857142,0.217391304,0.19047619,0.19119036715963614,3240
2020,"Jeff Samardzija","SFG",9.2,42,9.3103,11,1,0,10,10,3,2,0,0,2,0.275,0.309523809,0.525,0.35112781467891874,3254
2020,"Anibal Sanchez","WSN",17.1,75,5.1923,21,5,1,10,10,5,4,1,0,16,0.295774647,0.333333333,0.605633802,0.38595666675954254,3284
2020,"Danny Duffy","KCR",9,38,5,9,0,0,5,5,2,3,0,0,10,0.257142857,0.315789473,0.428571428,0.32176938025574936,3542
2020,"Liam Hendriks","OAK",10.1,39,1.7419,7,1,0,2,2,1,2,1,0,12,0.189189189,0.23076923,0.297297297,0.21908528710666456,3548
2020,"Yusmeiro Petit","OAK",7.1,31,1.2273,8,1,0,1,1,0,2,0,0,7,0.285714285,0.322580645,0.321428571,0.28408459694154803,4020
2020,"Derek Holland","PIT",17.2,78,6.1132,20,4,0,12,12,7,7,0,2,18,0.289855072,0.371794871,0.652173913,0.4242354226418031,4141
2020,"Jake Arrieta","PHI",10.2,41,3.375,10,1,0,4,4,0,2,0,0,10,0.256410256,0.292682926,0.282051282,0.25781268608279345,4153
2020,"Mark Melancon","ATL",6,27,3,6,0,0,2,2,0,3,0,1,3,0.272727272,0.37037037,0.272727272,0.30046247994458236,4264
2020,"Tyler Chatwood","CHC",12.2,47,0.7105,6,2,0,1,1,0,4,0,0,19,0.139534883,0.212765957,0.186046511,0.18712248700730344,4338
2020,"Charlie Morton","TBR",11.2,54,6.1714,15,3,0,8,8,2,3,0,1,10,0.3125,0.351851851,0.5,0.3576634548328541,4676
2020,"Nate Jones","CIN",5.2,24,4.7647,5,0,0,3,3,2,3,0,1,7,0.25,0.375,0.55,0.3928099026282628,4696
2020,"Rich Hill","MIN",7.2,32,4.6956,6,0,0,4,4,1,4,0,0,3,0.214285714,0.3125,0.321428571,0.2869132123887539,4806
2020,"Jon Lester","CHC",15.2,69,8.0425,22,2,1,14,14,7,1,0,0,12,0.323529411,0.333333333,0.69117647,0.4228358812954115,4930
2020,"Jake Diekman","OAK",8,31,0,3,0,0,0,0,0,4,0,0,10,0.115384615,0.233333333,0.115384615,0.18124255339304607,5003
2020,"Jeurys Familia","NYM",5.2,23,3.1765,3,1,0,2,2,0,4,0,1,7,0.166666666,0.347826086,0.222222222,0.28351478213849274,5114
2020,"Wade LeBlanc","BAL",10,44,6.3,10,0,0,7,7,3,4,0,0,6,0.25,0.318181818,0.475,0.338759490034797,5221
2020,"Pedro Baez","LAD",5.1,21,3.375,2,0,0,2,2,1,3,0,0,5,0.111111111,0.238095238,0.277777777,0.23599500031698317,5420
2020,"Jesse Chavez","TEX",7,29,7.7143,7,1,0,6,6,2,3,0,0,5,0.291666666,0.344827586,0.583333333,0.37308640521148156,5448
2020,"Nik Turley","PIT",6,24,1.5,3,1,0,2,1,0,2,0,0,4,0.136363636,0.208333333,0.181818181,0.18322410186131796,5530
2020,"Tyler Clippard","MIN",7,24,1.2857,5,2,0,1,1,0,1,0,0,3,0.217391304,0.25,0.304347826,0.24246293554703394,5640
2020,"Junior Guerra","ARI",7,28,2.5714,4,0,0,2,2,1,3,0,0,6,0.166666666,0.259259259,0.291666666,0.2488738011430811,5702
2020,"Trevor Cahill","SFG",5.1,20,1.6875,1,0,0,1,1,0,2,0,0,8,0.055555555,0.15,0.055555555,0.11388569474220275,6249
2020,"Trevor May","MIN",5.2,21,1.5882,3,0,0,1,1,1,1,0,0,10,0.15,0.19047619,0.3,0.21151803504853023,6398
2020,"Jose Cisnero","DET",7.2,32,2.3478,6,2,1,2,2,0,2,0,1,9,0.206896551,0.28125,0.344827586,0.2750882972031832,6399
