Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",9.2,41,2.7931,9,1,1,3,3,0,3,0,0,11,0.236842105,0.292682926,0.315789473,0.26982295367775894,1943
2020,"Ivan Nova","DET",5,25,5.4,7,1,0,3,3,0,2,0,0,0,0.304347826,0.36,0.347826086,0.31699094772338865,1994
2020,"Adam Wainwright","STL",11.2,45,3.0857,10,1,0,5,4,2,0,0,0,5,0.227272727,0.222222222,0.386363636,0.25269454585181345,2233
2020,"Lance Lynn","TEX",13.2,53,1.3171,7,2,0,2,2,1,6,0,0,19,0.14893617,0.245283018,0.255319148,0.22963906684011784,2520
2020,"Rick Porcello","NYM",5.2,26,6.3529,5,1,0,4,4,0,3,0,0,7,0.217391304,0.307692307,0.260869565,0.26380802347109866,2717
2020,"Anibal Sanchez","WSN",7.1,34,2.4546,10,2,1,2,2,2,3,1,0,7,0.322580645,0.382352941,0.64516129,0.418164357994542,3284
2020,"Tyler Chatwood","CHC",9,33,0,4,2,0,0,0,0,3,0,0,14,0.133333333,0.212121212,0.2,0.19191293102322202,4338
2020,"Charlie Morton","TBR",5.1,25,10.1251,6,1,0,6,6,2,2,0,1,7,0.285714285,0.36,0.619047619,0.3986928343772888,4676
2020,"Alex Cobb","BAL",9.1,42,3.8572,9,3,0,4,4,1,4,0,0,6,0.236842105,0.309523809,0.394736842,0.3070159526098342,6562
2020,"Carlos Carrasco","CLE",9.1,44,2.8929,8,3,0,3,3,2,8,0,0,14,0.228571428,0.372093023,0.485714285,0.36983607258907586,6632
2020,"Johnny Cueto","SFG",6.2,33,10.7999,8,3,1,8,8,2,5,0,0,10,0.285714285,0.393939393,0.678571428,0.4389542648286531,6893
2020,"Jordan Lyles","TEX",7.2,39,8.2174,10,3,0,8,7,1,5,0,0,7,0.294117647,0.384615384,0.470588235,0.37113977854068464,7593
2020,"Mike Fiers","OAK",7.1,31,3.6818,4,0,0,3,3,1,4,0,1,4,0.153846153,0.29032258,0.269230769,0.2627458591615,7754
2020,"Nathan Eovaldi","BOS",6.1,20,1.4211,2,1,0,1,1,1,0,0,0,8,0.1,0.1,0.3,0.1609032154083252,9132
2020,"Garrett Richards","SDP",5.1,23,3.375,2,1,0,2,2,1,5,0,0,7,0.111111111,0.304347826,0.333333333,0.29164030500080274,9784
2020,"Kyle Gibson","TEX",7.1,37,4.9091,11,2,0,5,4,1,4,0,1,5,0.34375,0.432432432,0.5,0.40621613972895854,10123
2020,"Ryan Weber","BOS",8.2,35,6.2307,10,1,0,6,6,4,3,0,0,4,0.322580645,0.382352941,0.741935483,0.4606426971800187,10160
2020,"Zack Wheeler","PHI",10,38,3.6,10,3,0,4,4,0,1,0,0,6,0.277777777,0.297297297,0.361111111,0.2860627416017893,10310
2020,"Asher Wojciechowski","BAL",6.1,26,7.1053,6,0,0,6,5,2,2,0,0,7,0.260869565,0.307692307,0.52173913,0.3416829796937796,10836
