Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",9.2,41,10.2413,2.7931,3.6667,0,0.2683,0.0732,0.1951,0.236842105,1.2414,0.3333,0.75,1.810588009336426,3.2257857856681236,1943
2020,"Ivan Nova","DET",5,25,0,3.6,0,0,0,0.08,-0.08,0.304347826,1.8,0.3043,0.6667,4.355410957336426,5.918872940540314,1994
2020,"Adam Wainwright","STL",11.2,45,3.8571,0,5,1.5429,0.1111,0,0.1111,0.227272727,0.8571,0.2105,0.6944,4.526835610336426,3.973403602218749,2233
2020,"Lance Lynn","TEX",13.2,53,12.5122,3.9512,3.1667,0.6585,0.3585,0.1132,0.2453,0.14893617,0.9512,0.2222,0.9483,2.643217085336426,3.5509897896121894,2520
2020,"Rick Porcello","NYM",5.2,26,11.1176,4.7647,2.3333,0,0.2692,0.1154,0.1538,0.217391304,1.4118,0.3125,0.5,2.273063207336426,4.34233895317689,2717
2020,"Anibal Sanchez","WSN",7.1,34,8.5909,3.6818,2.3333,2.4546,0.2059,0.0882,0.1176,0.322580645,1.7727,0.3636,1,6.019060337336427,5.67159463290654,3284
2020,"Tyler Chatwood","CHC",9,33,14,3,4.6667,0,0.4242,0.0909,0.3333,0.133333333,0.7778,0.25,1,1.044299846336426,1.9128898368941414,4338
2020,"Charlie Morton","TBR",5.1,25,11.8126,3.375,3.5,3.375,0.28,0.08,0.2,0.285714285,1.5,0.3077,0.4839,7.0929355663364255,4.782975945811483,4676
2020,"Alex Cobb","BAL",9.1,42,5.7857,3.8572,1.5,0.9643,0.1429,0.0952,0.0476,0.236842105,1.3929,0.2581,0.7759,4.548273074336426,4.621161801414514,6562
2020,"Carlos Carrasco","CLE",9.1,44,13.5,7.7143,1.75,1.9286,0.3182,0.1818,0.1364,0.228571428,1.7143,0.3,0.9848,5.5125622323364265,3.9831958644999332,6632
2020,"Johnny Cueto","SFG",6.2,33,13.4999,6.75,2,2.7,0.303,0.1515,0.1515,0.285714285,1.95,0.375,0.4902,6.305395207336426,4.457448300104815,6893
2020,"Jordan Lyles","TEX",7.2,39,8.2174,5.8695,1.4,1.1739,0.1795,0.1282,0.0513,0.294117647,1.9565,0.3462,0.5147,4.9814899743364265,5.834956888447413,7593
2020,"Mike Fiers","OAK",7.1,31,4.9091,4.9091,1,1.2273,0.129,0.129,0,0.153846153,1.0909,0.1429,0.7895,5.882696081336427,7.840966533416504,7754
2020,"Nathan Eovaldi","BOS",6.1,20,11.3685,0,8,1.4211,0.4,0,0.4,0.1,0.3158,0.0909,1,2.681724254336426,2.1719801069147344,9132
2020,"Garrett Richards","SDP",5.1,23,11.8126,8.4376,1.4,1.6875,0.3043,0.2174,0.087,0.111111111,1.3125,0.1,0.8929,5.780427363336425,5.1751055919949485,9784
2020,"Kyle Gibson","TEX",7.1,37,6.1364,4.9091,1.25,1.2273,0.1351,0.1081,0.027,0.34375,2.0455,0.3846,0.7534,5.609967568336426,5.436234716630217,10123
2020,"Ryan Weber","BOS",8.2,35,4.1538,3.1154,1.3333,4.1538,0.1143,0.0857,0.0286,0.322580645,1.5,0.25,0.9459,9.270772051336426,5.976776615321393,10160
2020,"Zack Wheeler","PHI",10,38,5.4,0.9,6,0,0.1579,0.0263,0.1316,0.277777777,1.1,0.3226,0.6364,2.255410957336426,3.818872940540314,10310
2020,"Asher Wojciechowski","BAL",6.1,26,9.9474,2.8421,3.5,2.8421,0.2692,0.0769,0.1923,0.260869565,1.2632,0.2667,0.3846,5.997531178336426,4.052303944094359,10836
2020,"Jacob deGrom","NYM",8.1,33,8.64,3.24,2.6667,0,0.2424,0.0909,0.1515,0.166666666,0.96,0.2273,0.75,2.315407597336426,4.66060995293824,10954
2020,"Merrill Kelly","ARI",5.2,23,1.5882,1.5882,1,1.5882,0.0435,0.0435,0,0.227272727,1.0588,0.2,0.8696,5.625984659336426,5.746035545374264,11156
2020,"Taijuan Walker","SEA",7.1,31,9.8182,3.6818,2.6667,4.9091,0.2581,0.0968,0.1613,0.214285714,1.2273,0.125,1,9.291802486336426,5.398866120504211,11836
2020,"Kyle Hendricks","CHC",14.1,49,8.1628,0,13,0.6279,0.2653,0,0.2653,0.122448979,0.4186,0.1429,0.4348,2.248432104336426,3.2503356924684637,12049
2020,"Chris Bassitt","OAK",8.2,31,9.3461,2.0769,4.5,0,0.2903,0.0645,0.2258,0.142857142,0.6923,0.2,0.8333,1.770800898336426,4.251283927331171,12304
2020,"Sonny Gray","CIN",14.2,54,10.4318,2.4545,4.25,1.2273,0.3148,0.0741,0.2407,0.142857142,0.75,0.1667,0.9783,3.632682599336426,3.0592030381074062,12768
