Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Todd Frazier","TEX",9,22,20,7,4,2,0,1,3,3,2,0,5,0,0,0,0,0,1,0.35,785
2020,"Carlos Santana","CLE",11,20,18,4,2,1,0,1,2,3,2,0,3,0,0,0,0,0,0,0.222222222,2396
2020,"Anthony Rizzo","CHC",13,21,17,2,2,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0.117647058,3473
2020,"Josh Reddick","HOU",14,29,26,9,5,4,0,0,3,7,3,0,3,0,0,0,0,0,0,0.346153846,3892
2020,"Jose Altuve","HOU",12,27,22,3,3,0,0,0,5,2,5,0,9,0,0,0,1,0,1,0.136363636,5417
2020,"Wilmer Flores","SFG",10,21,18,7,3,0,0,4,7,12,2,0,3,0,1,0,0,0,0,0.388888888,5827
2020,"Didi Gregorius","PHI",10,20,18,3,1,0,0,2,4,6,1,0,4,0,1,0,0,0,0,0.166666666,6012
2020,"Martin Maldonado","HOU",13,24,23,11,7,2,0,2,3,12,1,0,4,0,0,0,0,1,0,0.478260869,6887
2020,"Charlie Blackmon","COL",12,24,22,12,11,0,0,1,3,6,2,0,2,0,0,0,0,0,0,0.545454545,7859
2020,"Donovan Solano","SFG",9,20,18,4,4,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0.222222222,8623
2020,"Evan Longoria","SFG",10,21,18,9,6,1,0,2,7,6,2,0,2,0,1,0,1,0,0,0.5,9368
2020,"Kyle Seager","SEA",8,20,17,4,1,1,0,2,4,6,3,0,3,0,0,0,0,0,0,0.235294117,9785
2020,"Max Stassi","LAA",10,21,18,4,2,0,0,2,2,5,3,0,3,0,0,0,2,0,0,0.222222222,10059
2020,"Cesar Hernandez","CLE",12,24,22,4,2,1,0,1,2,4,2,0,6,0,0,0,1,0,0,0.181818181,10556
2020,"Rougned Odor","TEX",8,21,19,2,2,0,0,0,2,1,1,0,7,1,0,0,0,0,0,0.105263157,12282
2020,"Kevin Pillar","BOS",8,20,19,7,3,3,0,1,2,6,0,0,4,1,0,0,0,0,0,0.368421052,12434
2020,"Trevor Story","COL",9,20,16,6,3,0,0,3,5,4,4,0,3,0,0,0,0,0,0,0.375,12564
2020,"George Springer","HOU",10,23,20,4,3,0,0,1,2,2,2,0,4,0,0,0,0,0,0,0.2,12856
2020,"Anthony Rendon","LAA",9,21,16,5,1,2,0,2,5,4,5,1,4,0,0,0,1,0,0,0.3125,12861
2020,"Francisco Lindor","CLE",11,20,18,7,5,2,0,0,2,1,0,0,1,2,0,0,1,0,0,0.388888888,12916
2020,"Brandon Nimmo","NYM",10,20,16,2,0,1,0,1,2,2,1,0,4,3,0,0,1,0,0,0.125,12927
2020,"Javier Baez","CHC",14,21,18,3,2,1,0,0,1,2,2,0,5,0,1,0,2,0,0,0.166666666,12979
2020,"Jackie Bradley Jr.","BOS",12,22,22,4,3,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0.181818181,12984
2020,"Max Muncy","LAD",11,20,17,2,1,0,0,1,1,1,2,0,6,1,0,0,1,0,0,0.117647058,13301
2020,"Jose  Ramirez","CLE",12,23,21,8,3,3,0,2,4,3,2,0,4,0,0,0,0,3,0,0.38095238,13510
2020,"Mookie Betts","LAD",11,20,18,1,1,0,0,0,3,0,2,0,5,0,0,0,0,3,0,0.055555555,13611
2020,"Joey Gallo","TEX",9,22,18,3,0,0,0,3,4,5,2,0,9,2,0,0,0,0,0,0.166666666,14128
2020,"Carlos Correa","HOU",13,26,22,6,5,1,0,0,3,3,4,0,4,0,0,0,0,0,0,0.272727272,14162
2020,"David Bote","CHC",11,20,18,0,0,0,0,0,1,0,1,0,5,1,0,0,1,0,0,0,14593
2020,"Mike Yastrzemski","SFG",11,28,25,6,1,2,1,2,5,7,3,0,7,0,0,0,0,1,0,0.24,14854
2020,"Jeff McNeil","NYM",9,22,16,5,4,1,0,0,1,4,2,0,2,2,2,0,0,0,0,0.3125,15362
2020,"Cody Bellinger","LAD",12,22,18,1,1,0,0,0,3,1,4,0,4,0,0,0,0,0,0,0.055555555,15998
2020,"J.D. Davis","NYM",9,20,18,3,2,1,0,0,2,0,2,0,3,0,0,0,0,0,0,0.166666666,16219
2020,"Michael Conforto","NYM",9,22,19,8,6,1,0,1,3,3,3,0,4,0,0,0,0,0,1,0.421052631,16376
2020,"Kyle Schwarber","CHC",13,22,18,3,1,0,0,2,3,3,3,0,7,1,0,0,1,0,0,0.166666666,16478
2020,"Alex Verdugo","BOS",9,20,18,5,5,0,0,0,2,1,2,0,4,0,0,0,0,0,0,0.277777777,17027
2020,"Alex Bregman","HOU",11,23,19,9,4,4,0,1,5,3,4,1,2,0,0,0,0,0,0,0.47368421,17678
2020,"Ian Happ","CHC",12,24,21,5,4,0,0,1,1,2,3,0,8,0,0,0,0,1,0,0.238095238,17919
2020,"David Fletcher","LAA",9,24,21,5,5,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0.238095238,17992
2020,"Kyle Tucker","HOU",12,23,20,5,3,0,1,1,6,1,3,0,5,0,0,0,0,0,0,0.25,18345
2020,"Brandon Lowe","TBR",9,20,17,7,4,2,0,1,3,3,2,0,1,1,0,0,0,0,0,0.411764705,18882
2020,"Yuli Gurriel","HOU",13,24,23,10,6,2,0,2,7,3,0,0,0,1,0,0,1,0,0,0.434782608,19198
2020,"Nick Solak","TEX",10,23,23,8,7,1,0,0,2,6,0,0,3,0,0,0,1,1,0,0.347826086,19294
