Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Zack Greinke","HOU",17.1,71,2.666666666,0.29787234,0.510638297,0.191489361,0.111111111,0,0,0,0.4468,0.3191,0.234,0.1489,0.4468,0.4043,1943
2020,"Ivan Nova","DET",11,51,2.4,0.128205128,0.615384615,0.256410256,0,0.2,0,0,0.4524,0.3571,0.1905,0.119,0.5238,0.3571,1994
2020,"Clayton Kershaw","LAD",5.2,19,1.4,0,0.583333333,0.416666666,0,0.4,0,0,0.6667,0.3333,0,0,0.5,0.5,2036
2020,"Adam Wainwright","STL",13.1,51,2,0.162790697,0.558139534,0.279069767,0,0.166666666,0.041666666,0,0.4444,0.4,0.1556,0.1333,0.5333,0.3333,2233
2020,"Hector Rondon","ARI",5,24,0.333333333,0.272727272,0.181818181,0.545454545,0,0.166666666,0,0,0.4545,0.3636,0.1818,0,0.6364,0.3636,2391
2020,"Lance Lynn","TEX",25.2,96,0.777777777,0.25,0.328125,0.421875,0.111111111,0.074074074,0.095238095,0,0.3281,0.3594,0.3125,0.1719,0.5313,0.2969,2520
2020,"Rick Porcello","NYM",12.2,56,1.416666666,0.256410256,0.435897435,0.307692307,0.416666666,0,0.058823529,0,0.4872,0.2564,0.2564,0.3077,0.2564,0.4359,2717
2020,"Luis Avilan","NYY",5,18,3,0.2,0.6,0.2,0.5,0,0,0,0.4,0.3,0.3,0.3,0.4,0.3,2882
2020,"Kenley Jansen","LAD",5.2,20,0.428571428,0,0.3,0.7,0.142857142,0.142857142,0,0,0.4,0.4,0.2,0.2,0.4,0.4,3096
2020,"Max Scherzer","WSN",15.2,73,0.94117647,0.214285714,0.38095238,0.404761904,0.117647058,0.176470588,0.125,1,0.4091,0.2045,0.3864,0.1136,0.4545,0.4318,3137
2020,"T.J. McFarland","OAK",5.1,20,3.333333333,0.1875,0.625,0.1875,0,0.333333333,0,0,0.625,0.1875,0.1875,0.1875,0.375,0.4375,3237
2020,"Jeff Samardzija","SFG",6.2,29,0.5,0.181818181,0.272727272,0.545454545,0.166666666,0.166666666,0,0,0.4545,0.2727,0.2727,0.2273,0.4091,0.3636,3254
2020,"Anibal Sanchez","WSN",11,56,0.722222222,0.243902439,0.31707317,0.43902439,0.055555555,0.166666666,0.076923076,0,0.3902,0.4146,0.1951,0.122,0.4878,0.3902,3284
2020,"Danny Duffy","KCR",7.2,28,1.8,0.222222222,0.5,0.277777777,0.2,0,0,0,0.3333,0.5,0.1667,0.1111,0.5556,0.3333,3542
2020,"Liam Hendriks","OAK",6.1,25,0.6,0.333333333,0.25,0.416666666,0,0.2,0,0,0.5833,0.1667,0.25,0,0.4167,0.5833,3548
2020,"Yusmeiro Petit","OAK",5,17,0.555555555,0,0.357142857,0.642857142,0.111111111,0,0,1,0.3333,0.4,0.2667,0.2,0.4,0.4,4020
2020,"Jake Arrieta","PHI",10.1,41,2.666666666,0.29032258,0.516129032,0.193548387,0,0.333333333,0,0,0.3548,0.3871,0.2581,0.1935,0.4516,0.3548,4153
2020,"Rafael Dolis","TOR",6,30,2.333333333,0.166666666,0.583333333,0.25,0,0.333333333,0,0.5,0.3571,0.2857,0.3571,0.1429,0.7143,0.1429,4185
2020,"Tyler Chatwood","CHC",11,47,1.25,0.28,0.4,0.32,0,0,0,0,0.28,0.52,0.2,0.12,0.44,0.44,4338
2020,"Charlie Morton","TBR",8,36,0.727272727,0.136363636,0.363636363,0.5,0.09090909,0.272727272,0,1,0.4783,0.3478,0.1739,0.1304,0.1304,0.7391,4676
2020,"Matt Shoemaker","TOR",16.1,66,1.3125,0.195652173,0.456521739,0.347826086,0.125,0.3125,0.047619047,0,0.4681,0.3191,0.2128,0.2553,0.2979,0.4468,4776
2020,"Wade LeBlanc","BAL",5,24,0.714285714,0.2,0.333333333,0.466666666,0,0,0.2,1,0.5,0.25,0.25,0.1875,0.5625,0.25,5221
2020,"Pedro Baez","LAD",6,22,0.666666666,0.117647058,0.352941176,0.529411764,0.111111111,0,0.166666666,0,0.4118,0.3529,0.2353,0.2353,0.4118,0.3529,5420
2020,"Jesse Chavez","TEX",7,25,1.142857142,0.166666666,0.444444444,0.388888888,0,0,0,1,0.4737,0.2632,0.2632,0.1053,0.3158,0.5789,5448
2020,"Tyler Clippard","MIN",6,21,0.714285714,0.142857142,0.357142857,0.5,0.428571428,0,0,0,0.7143,0.1429,0.1429,0.2857,0.5,0.2143,5640
2020,"Trevor Cahill","SFG",7,25,0.444444444,0,0.307692307,0.692307692,0.333333333,0.111111111,0,0,0.3571,0.2143,0.4286,0.2857,0.5,0.2143,6249
2020,"David Phelps","MIL",8,29,2.666666666,0.214285714,0.571428571,0.214285714,0,0.333333333,0,0,0.5,0.3571,0.1429,0.2143,0.5,0.2857,6316
2020,"Trevor May","MIN",7,28,0.25,0.333333333,0.133333333,0.533333333,0.25,0.125,0,0,0.3333,0.2,0.4667,0.1333,0.4667,0.4,6398
2020,"Jose Cisnero","DET",6.1,26,2.666666666,0.214285714,0.571428571,0.214285714,0,0,0.125,0,0.4286,0.5,0.0714,0.0714,0.3571,0.5714,6399
2020,"Alex Cobb","BAL",14.2,66,2.7,0.229166666,0.5625,0.208333333,0,0.3,0.074074074,0,0.4286,0.4082,0.1633,0.1633,0.3469,0.4898,6562
2020,"Carlos Carrasco","CLE",16.1,72,1.75,0.175,0.525,0.3,0,0.25,0,0,0.439,0.3659,0.1951,0.0976,0.3659,0.5366,6632
2020,"Alex Colome","CHW",7.1,28,1.75,0.352941176,0.411764705,0.235294117,0.25,0,0,0,0.7059,0.1176,0.1765,0.2353,0.3529,0.4118,6661
2020,"Julio Teheran","LAA",8.1,37,0.727272727,0.321428571,0.285714285,0.392857142,0,0.363636363,0,0,0.2759,0.4828,0.2414,0.1034,0.3103,0.5862,6797
2020,"Johnny Cueto","SFG",13,61,0.823529411,0.243902439,0.341463414,0.414634146,0,0.117647058,0.071428571,0,0.5366,0.2927,0.1707,0.0732,0.561,0.3659,6893
