Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",17.1,71,3.6346,14,2,1,7,7,0,4,0,1,19,0.212121212,0.267605633,0.272727272,0.24300677591646222,1943
2020,"Ivan Nova","DET",11,51,6.5455,12,1,0,8,8,2,6,0,0,3,0.266666666,0.352941176,0.422222222,0.339657792858049,1994
2020,"Clayton Kershaw","LAD",5.2,19,4.7647,3,1,0,3,3,2,0,0,0,7,0.157894736,0.157894736,0.526315789,0.273595414663616,2036
2020,"Adam Wainwright","STL",13.1,51,3.375,10,1,0,6,5,2,1,0,0,5,0.204081632,0.215686274,0.346938775,0.2366507275431764,2233
2020,"Hector Rondon","ARI",5,24,5.4,4,2,0,4,3,1,4,1,1,8,0.210526315,0.375,0.47368421,0.35474447582079016,2391
2020,"Lance Lynn","TEX",25.2,96,1.0519,13,3,0,3,3,2,6,0,0,26,0.144444444,0.197916666,0.244444444,0.1970451051990191,2520
2020,"Rick Porcello","NYM",12.2,56,4.9737,14,3,0,7,7,0,3,0,0,14,0.264150943,0.303571428,0.320754716,0.2769211030432156,2717
2020,"Luis Avilan","NYY",5,18,0,3,0,0,0,0,0,1,0,0,7,0.176470588,0.222222222,0.176470588,0.1857488320933448,2882
2020,"Kenley Jansen","LAD",5.2,20,1.5882,2,0,0,1,1,1,1,0,0,9,0.105263157,0.15,0.263157894,0.17800149619579314,3096
2020,"Max Scherzer","WSN",15.2,73,4.5957,19,2,1,8,8,3,9,0,0,20,0.306451612,0.383561643,0.516129032,0.3797258995983699,3137
2020,"T.J. McFarland","OAK",5.1,20,1.6875,4,2,0,1,1,1,0,0,0,4,0.2,0.2,0.45,0.266886442899704,3237
2020,"Jeff Samardzija","SFG",6.2,29,4.05,5,0,0,3,3,2,4,0,0,3,0.2,0.310344827,0.44,0.3240611635405442,3254
2020,"Anibal Sanchez","WSN",11,56,4.9091,17,4,1,6,6,3,6,2,1,8,0.346938775,0.428571428,0.653061224,0.44270667875254593,3284
2020,"Danny Duffy","KCR",7.2,28,1.1739,3,0,0,1,1,0,2,0,0,8,0.115384615,0.178571428,0.115384615,0.1443361256803785,3542
2020,"Liam Hendriks","OAK",6.1,25,1.4211,5,1,0,1,1,1,2,0,0,11,0.217391304,0.28,0.391304347,0.29037903308868407,3548
2020,"Yusmeiro Petit","OAK",5,17,0,1,0,0,0,0,0,1,0,0,1,0.0625,0.117647058,0.0625,0.09292831491021548,4020
2020,"Jake Arrieta","PHI",10.1,41,6.9678,9,4,0,8,8,2,3,0,0,7,0.243243243,0.292682926,0.513513513,0.33295375980981967,4153
