Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",17.1,71,9.8654,2.0769,4.75,0,0.2676,0.0563,0.2113,0.212121212,1.0385,0.2979,0.6316,1.828485329336426,2.8432342403260322,1943
2020,"Ivan Nova","DET",11,51,2.4545,4.9091,0.5,1.6364,0.0588,0.1176,-0.0588,0.266666666,1.6364,0.25,0.6579,6.609956411336426,6.02298139279539,1994
2020,"Clayton Kershaw","LAD",5.2,19,11.1176,0,7,3.1765,0.3684,0,0.3684,0.157894736,0.5294,0.1,0,5.273045559336426,2.4092337104421664,2036
2020,"Adam Wainwright","STL",13.1,51,3.375,0.675,5,1.35,0.098,0.0196,0.0784,0.204081632,0.825,0.186,0.6098,4.580414519336426,4.3893087731853395,2233
2020,"Hector Rondon","ARI",5,24,14.4,7.2,2,1.8,0.3333,0.1667,0.1667,0.210526315,1.6,0.3,0.6579,5.555410957336425,5.300603932142257,2391
2020,"Lance Lynn","TEX",25.2,96,9.1169,2.1039,4.3333,0.7013,0.2708,0.0625,0.2083,0.144444444,0.7403,0.1774,0.9877,2.843723051336426,3.8865856674912655,2520
2020,"Rick Porcello","NYM",12.2,56,9.9473,2.1316,4.6667,0,0.25,0.0536,0.1964,0.264150943,1.3421,0.359,0.5882,1.655414905336426,3.5068781704273113,2717
2020,"Luis Avilan","NYY",5,18,12.6,1.8,7,0,0.3889,0.0556,0.3333,0.176470588,0.8,0.3,1,0.9554109573364258,1.73714194893837,2882
2020,"Kenley Jansen","LAD",5.2,20,14.294,1.5882,9,1.5882,0.45,0.05,0.4,0.105263157,0.5294,0.1111,1,2.802471857336426,2.922522742508399,3096
2020,"Max Scherzer","WSN",15.2,73,11.4893,5.1702,2.2222,1.7234,0.274,0.1233,0.1507,0.306451612,1.7872,0.3902,0.8403,4.814981894336427,4.446274198675229,3137
2020,"T.J. McFarland","OAK",5.1,20,6.75,0,4,1.6875,0.2,0,0.2,0.2,0.75,0.2,1,4.092916816336426,2.754717659943551,3237
2020,"Jeff Samardzija","SFG",6.2,29,4.05,5.4,0.75,2.7,0.1034,0.1379,-0.0345,0.2,1.35,0.15,0.9677,7.955386957336426,7.573178330708307,3254
2020,"Anibal Sanchez","WSN",11,56,6.5455,4.9091,1.3333,2.4545,0.1429,0.1071,0.0357,0.346938775,2.0909,0.3684,0.9091,7.155410957336426,6.807946832071652,3284
2020,"Danny Duffy","KCR",7.2,28,9.3913,2.3478,4,0,0.2857,0.0714,0.2143,0.115384615,0.6522,0.1667,0.8,1.851068802336426,3.125624660106105,3542
2020,"Liam Hendriks","OAK",6.1,25,15.6317,2.8421,5.5,1.4211,0.44,0.08,0.36,0.217391304,1.1053,0.3636,1,2.681724254336426,2.1719801069147344,3548
2020,"Yusmeiro Petit","OAK",5,17,1.8,1.8,1,0,0.0588,0.0588,0,0.0625,0.4,0.0667,1,3.355410957336426,6.873200419545174,4020
2020,"Jake Arrieta","PHI",10.1,41,6.0968,2.6129,2.3333,1.7419,0.1707,0.0732,0.0976,0.243243243,1.1613,0.2414,0.4348,5.187675577336426,3.80631288353901,4153
2020,"Rafael Dolis","TOR",6,30,13.5,10.5,1.2857,1.5,0.3,0.2333,0.0667,0.227272727,2,0.3077,0.6604,5.822077623336426,4.632574696838857,4185
2020,"Tyler Chatwood","CHC",11,47,14.7273,3.2727,4.5,0,0.383,0.0851,0.2979,0.255813953,1.3636,0.44,0.8,0.9735927763364258,2.3949218511581423,4338
2020,"Charlie Morton","TBR",8,36,11.25,2.25,5,3.375,0.2778,0.0556,0.2222,0.28125,1.375,0.3,0.5128,6.655410957336426,4.467611240968108,4676
2020,"Matt Shoemaker","TOR",16.1,66,8.2653,2.2041,3.75,2.7551,0.2273,0.0606,0.1667,0.196721311,0.9796,0.1667,0.6667,6.032967849336426,3.967815043716873,4776
2020,"Wade LeBlanc","BAL",5,24,3.6,9,0.4,0,0.0833,0.2083,-0.125,0.1875,1.6,0.1875,0.6667,5.955410957336426,8.691469427943229,5221
2020,"Pedro Baez","LAD",6,22,4.5,3,1.5,0,0.1364,0.0909,0.0455,0.1,0.6667,0.1176,0.5,3.1554109573364264,6.086902175843717,5420
2020,"Jesse Chavez","TEX",7,25,5.1429,2.5714,2,0,0.16,0.08,0.08,0.19047619,0.8571,0.2105,0.6667,2.869696672336426,4.824024150627,5448
2020,"Tyler Clippard","MIN",6,21,9,1.5,6,0,0.2857,0.0476,0.2381,0.15,0.6667,0.2143,1,1.6554109573364264,3.9354596828420965,5640
2020,"Trevor Cahill","SFG",7,25,11.5714,2.5714,4.5,1.2857,0.36,0.08,0.28,0.136363636,0.7143,0.1538,0.8333,3.298268099336426,3.9538320017712456,6249
2020,"David Phelps","MIL",8,29,14.625,1.125,13,1.125,0.4483,0.0345,0.4138,0.111111111,0.5,0.1538,0.5556,2.280410957336426,1.3882837619632484,6316
2020,"Trevor May","MIN",7,28,14.1429,2.5714,5.5,1.2857,0.3929,0.0714,0.3214,0.192307692,1,0.2857,0.8929,2.726839529336426,3.1032137904848374,6398
2020,"Jose Cisnero","DET",6.1,26,11.3685,5.6842,2,0,0.3077,0.1538,0.1538,0.136363636,1.1053,0.2143,0.8571,2.523828686336426,3.4495676271633062,6399
2020,"Alex Cobb","BAL",14.2,66,7.3636,3.0682,2.4,1.8409,0.1818,0.0758,0.1061,0.229508196,1.2955,0.2391,0.8784,5.200860853336426,3.8742689683442597,6562
2020,"Carlos Carrasco","CLE",16.1,72,11.0204,6.0612,1.8182,1.6531,0.2778,0.1528,0.125,0.233333333,1.5306,0.2895,0.8654,5.1145986283364255,4.162674017958487,6632
2020,"Alex Colome","CHW",7.1,28,9.8182,1.2273,8,0,0.2857,0.0357,0.25,0.12,0.5455,0.1667,0.8,1.7917683953364265,2.85777004751676,6661
2020,"Julio Teheran","LAA",8.1,37,4.32,4.32,1,4.32,0.1081,0.1081,0,0.354838709,1.8,0.28,0.5319,9.875437837336426,6.215135468520886,6797
2020,"Johnny Cueto","SFG",13,61,8.3077,5.5385,1.5,1.3846,0.1967,0.1311,0.0656,0.264150943,1.6923,0.3077,0.6771,5.155410957336426,5.711069968342781,6893
2020,"Chase Anderson","TOR",6.1,30,5.6842,2.8421,2,2.8421,0.1333,0.0667,0.0667,0.333333333,1.7369,0.3333,0.6522,7.418591289336426,6.0905233491453945,6895
2020,"Ian Kennedy","KCR",6,27,6,4.5,1.3333,4.5,0.1481,0.1111,0.037,0.272727272,1.5,0.1875,0.6897,10.322077623336426,7.079290089011193,6986
2020,"Daniel Bard","COL",7.1,33,8.5909,2.4546,3.5,1.2273,0.2121,0.0606,0.1515,0.3,1.5,0.3636,0.7547,4.246325006336426,4.339092567666567,7115
2020,"Daniel Hudson","WSN",5,18,18,0,10,1.8,0.5556,0,0.5556,0.117647058,0.4,0.1667,0,2.355410957336426,1.709738436341286,7146
2020,"Greg Holland","KCR",9,35,7,1,7,0,0.2,0.0286,0.1714,0.28125,1.1111,0.3462,0.5455,2.266522069336426,3.569407054450777,7196
2020,"Craig Stammen","SDP",6.1,23,4.2632,1.4211,3,0,0.1304,0.0435,0.087,0.136363636,0.6316,0.1579,0.75,2.681724254336426,3.9160428421388893,7274
2020,"Javy Guerra","WSN",6,26,6,4.5,1.3333,1.5,0.1538,0.1154,0.0385,0.260869565,1.5,0.2778,0.9211,5.4887442903364265,6.579290089011193,7407
2020,"Gio Gonzalez","CHW",6.2,31,8.1,5.4,1.5,1.35,0.1935,0.129,0.0645,0.28,1.65,0.3333,0.8621,6.005396707336426,6.400587706258513,7448
2020,"Jordan Lyles","TEX",14.1,66,5.6512,6.2791,0.9,0.6279,0.1364,0.1515,-0.0152,0.254545454,1.6744,0.2826,0.6637,4.899601059336426,6.44689963210689,7593
2020,"Tommy Milone","BAL",8.2,34,8.3077,2.0769,4,1.0385,0.2353,0.0588,0.1765,0.193548387,0.9231,0.2174,0.7576,3.501563471336426,3.8055568989334443,7608
2020,"Mike Fiers","OAK",14.2,67,4.9091,3.6818,1.3333,2.4545,0.1194,0.0896,0.0299,0.266666666,1.5,0.25,0.6897,7.0417657603364265,6.960801021503986,7754
2020,"Josh Lindblom","MIL",11.2,56,10.8,6.1714,1.75,3.8571,0.25,0.1429,0.1071,0.333333333,2.0571,0.3793,0.7059,8.383967446336426,4.990227763036682,7882
2020,"Tanner Roark","TOR",13.2,63,8.561,7.2439,1.1818,2.6341,0.2063,0.1746,0.0317,0.25,1.7561,0.2571,0.7609,7.472473598336426,5.812593172872941,8753
2020,"Nathan Eovaldi","BOS",19.1,76,8.8448,1.8621,4.75,0.931,0.25,0.0526,0.1974,0.228571428,1.0345,0.28,0.8242,3.3105836383364258,3.9874753012454947,9132
2020,"Patrick Corbin","WSN",7.2,30,12.913,1.1739,11,2.3478,0.3667,0.0333,0.3333,0.24137931,1.0435,0.3125,0.7692,4.068450465336426,2.206627892136165,9323
