Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","TEX",40,1.222222222,0.310344827,0.379310344,0.310344827,0,0.111111111,0,0,0.4828,0.3103,0.2069,0.069,0.4828,0.4483,785
2020,"Albert Pujols","LAA",33,2.6,0.333333333,0.481481481,0.185185185,0.6,0.2,0,0,0.6667,0.2222,0.1111,0.1852,0.2222,0.5926,1177
2020,"Wilson Ramos","NYM",24,0.571428571,0.266666666,0.266666666,0.466666666,0,0.142857142,0,0,0.2,0.4,0.4,0.1333,0.4,0.4667,1433
2020,"Miguel Cabrera","DET",26,1,0.444444444,0.277777777,0.277777777,0,0.2,0,0,0.6667,0.1111,0.2222,0.0556,0.5556,0.3889,1744
2020,"David Peralta","ARI",25,3,0.111111111,0.666666666,0.222222222,0,0,0.083333333,0,0.5556,0.2778,0.1667,0.2778,0.4444,0.2778,2136
2020,"Edwin Encarnacion","CHW",25,0.714285714,0.076923076,0.384615384,0.538461538,0.142857142,0.285714285,0,0,0.5385,0.2308,0.2308,0.2308,0.3077,0.4615,2151
2020,"Carlos Santana","CLE",36,0.642857142,0.148148148,0.333333333,0.518518518,0.071428571,0.142857142,0,0,0.4074,0.3704,0.2222,0.037,0.4074,0.5556,2396
2020,"Nelson Cruz","MIN",30,1.285714285,0.238095238,0.428571428,0.333333333,0,0.571428571,0.111111111,0,0.4286,0.4286,0.1429,0.0476,0.4762,0.4762,2434
2020,"Manny Pina","MIL",21,0.285714285,0.4,0.133333333,0.466666666,0.142857142,0,0,0,0.4,0.2667,0.3333,0.1333,0.3333,0.5333,2829
2020,"Tommy Pham","SDP",22,1,0.142857142,0.428571428,0.428571428,0,0.166666666,0,0,0.2857,0.4286,0.2857,0.0714,0.4286,0.5,2967
