Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","TEX",105,0.888888888,0.271428571,0.342857142,0.385714285,0.185185185,0.074074074,0.041666666,0,0.4714,0.3429,0.1857,0.1714,0.4286,0.4,785
2020,"Albert Pujols","LAA",83,1.4,0.238095238,0.444444444,0.317460317,0.3,0.15,0,0,0.619,0.2063,0.1746,0.1587,0.2698,0.5714,1177
2020,"Wilson Ramos","NYM",83,1.578947368,0.183333333,0.5,0.316666666,0.157894736,0.052631578,0.033333333,0,0.3167,0.4667,0.2167,0.1833,0.4,0.4167,1433
2020,"Miguel Cabrera","DET",118,1.761904761,0.275,0.4625,0.2625,0.142857142,0.19047619,0.054054054,0,0.4375,0.3125,0.25,0.1125,0.4875,0.4,1744
2020,"David Peralta","ARI",123,1.642857142,0.221052631,0.484210526,0.294736842,0.035714285,0.071428571,0.065217391,0,0.4526,0.2842,0.2632,0.1474,0.4737,0.3789,2136
2020,"Edwin Encarnacion","CHW",81,0.947368421,0.159090909,0.409090909,0.431818181,0.263157894,0.210526315,0.166666666,0,0.5909,0.25,0.1591,0.2273,0.3864,0.3864,2151
2020,"Carlos Santana","CLE",130,1.1,0.202531645,0.417721518,0.379746835,0.066666666,0.1,0.03030303,0,0.4937,0.3418,0.1646,0.0886,0.5063,0.4051,2396
2020,"Nelson Cruz","MIN",123,1.5,0.2,0.48,0.32,0.083333333,0.458333333,0.055555555,0,0.3733,0.36,0.2667,0.1067,0.4267,0.4667,2434
2020,"Manny Pina","MIL",44,0.384615384,0.357142857,0.178571428,0.464285714,0.076923076,0.153846153,0,0,0.3571,0.4643,0.1786,0.1429,0.25,0.6071,2829
2020,"Roberto Perez","CLE",34,3.666666666,0.125,0.6875,0.1875,0.333333333,0,0.181818181,0,0.625,0.3125,0.0625,0.125,0.5625,0.3125,2900
2020,"Tommy Pham","SDP",95,2.6,0.114754098,0.639344262,0.245901639,0,0.133333333,0.102564102,0,0.459,0.3279,0.2131,0.1475,0.3607,0.4918,2967
2020,"Mitch Moreland","BOS",68,1,0.121951219,0.43902439,0.43902439,0.055555555,0.388888888,0.055555555,0,0.4048,0.4286,0.1667,0.119,0.3571,0.5238,3086
2020,"Robinson Chirinos","TEX",45,1.857142857,0.259259259,0.481481481,0.259259259,0.142857142,0,0,0,0.2963,0.4815,0.2222,0.1481,0.4815,0.3704,3142
2020,"Shin-Soo Choo","TEX",81,1.411764705,0.196078431,0.470588235,0.333333333,0.058823529,0.176470588,0,0,0.3846,0.3462,0.2692,0.1154,0.4231,0.4615,3174
2020,"Robinson Cano","NYM",70,1.714285714,0.321428571,0.428571428,0.25,0.071428571,0.285714285,0.083333333,0,0.4464,0.3571,0.1964,0.2143,0.3036,0.4821,3269
2020,"Matt Joyce","MIA",61,1.444444444,0.371428571,0.371428571,0.257142857,0,0.111111111,0.307692307,0,0.3143,0.5429,0.1429,0.2571,0.3714,0.3714,3353
2020,"Ryan Braun","MIL",57,1.333333333,0.3,0.4,0.3,0.166666666,0.083333333,0,1,0.4146,0.3659,0.2195,0.1707,0.3415,0.4878,3410
2020,"Drew Butera","COL",26,1,0.176470588,0.411764705,0.411764705,0.285714285,0,0.142857142,0,0.4444,0.2222,0.3333,0.2222,0.5,0.2778,3411
2020,"Jeff Mathis","TEX",29,1.166666666,0.133333333,0.466666666,0.4,0.333333333,0.166666666,0,0,0.4375,0.4375,0.125,0.25,0.25,0.5,3448
2020,"Anthony Rizzo","CHC",121,1.076923076,0.27027027,0.378378378,0.351351351,0.153846153,0.192307692,0.071428571,0,0.5067,0.2933,0.2,0.1733,0.3867,0.44,3473
2020,"Eric Hosmer","SDP",78,0.88,0.216666666,0.366666666,0.416666666,0.04,0.24,0,0,0.4167,0.3833,0.2,0.1,0.4333,0.4667,3516
2020,"Eric Thames","WSN",73,1.909090909,0.288888888,0.466666666,0.244444444,0.181818181,0.09090909,0.047619047,0,0.3333,0.4222,0.2444,0.1333,0.3556,0.5111,3711
2020,"Josh Reddick","HOU",117,1.068965517,0.277108433,0.373493975,0.34939759,0.206896551,0.034482758,0.032258064,0,0.4217,0.3855,0.1928,0.1205,0.5181,0.3614,3892
2020,"Dexter Fowler","STL",55,1,0.222222222,0.388888888,0.388888888,0.071428571,0.142857142,0.071428571,0,0.3611,0.4444,0.1944,0.2222,0.3889,0.3889,4062
2020,"Michael Brantley","HOU",75,1.095238095,0.228070175,0.403508771,0.368421052,0,0.047619047,0.04347826,0,0.4386,0.3158,0.2456,0.0877,0.4912,0.4211,4106
2020,"Howie Kendrick","WSN",66,1.833333333,0.32,0.44,0.24,0,0.083333333,0.045454545,0,0.3,0.46,0.24,0.12,0.32,0.56,4229
2020,"Joey Votto","CIN",106,1.142857142,0.2,0.426666666,0.373333333,0,0.107142857,0.0625,0,0.52,0.28,0.2,0.0933,0.56,0.3467,4314
2020,"Daniel Murphy","COL",97,1.034482758,0.213333333,0.4,0.386666666,0.172413793,0.103448275,0.033333333,0,0.3467,0.36,0.2933,0.0933,0.6,0.3067,4316
2020,"Starlin Castro","WSN",63,0.85,0.212765957,0.361702127,0.425531914,0.05,0.1,0.058823529,0,0.3191,0.4043,0.2766,0.234,0.4468,0.3191,4579
2020,"Jarrod Dyson","PIT",55,1.384615384,0.225,0.45,0.325,0.153846153,0,0.055555555,1,0.4878,0.3171,0.1951,0.3171,0.3415,0.3415,4866
2020,"Mike Moustakas","CIN",49,0.571428571,0.185185185,0.296296296,0.518518518,0.071428571,0.142857142,0,0,0.4074,0.4815,0.1111,0.1481,0.4444,0.4074,4892
2020,"Ender Inciarte","ATL",80,1.666666666,0.186440677,0.508474576,0.305084745,0.111111111,0,0.166666666,0,0.4576,0.2881,0.2542,0.2881,0.5085,0.2034,4922
2020,"Jason Heyward","CHC",86,1.529411764,0.27118644,0.440677966,0.288135593,0.117647058,0.117647058,0.038461538,0,0.5085,0.3729,0.1186,0.1356,0.3898,0.4746,4940
2020,"Giancarlo Stanton","NYY",54,1.555555555,0.233333333,0.466666666,0.3,0.333333333,0.333333333,0,0,0.5667,0.2667,0.1667,0.2333,0.2667,0.5,4949
