Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",8,28,1.125,5,1,0,1,1,0,0,0,0,5,0.178571428,0.178571428,0.214285714,0.17018610664776393,1943
2020,"Adam Wainwright","STL",8.1,35,3.24,6,2,0,4,3,0,3,0,1,8,0.193548387,0.285714285,0.258064516,0.2521263088498797,2233
2020,"Lance Lynn","TEX",9.1,39,1.9286,5,1,0,2,2,1,5,0,1,12,0.151515151,0.282051282,0.272727272,0.2584838439256717,2520
2020,"Rick Porcello","NYM",5.1,27,13.5001,15,4,0,9,8,1,0,0,1,3,0.576923076,0.592592592,0.846153846,0.6102813371905574,2717
2020,"Max Scherzer","WSN",6.2,30,5.4,6,1,0,4,4,1,3,0,1,11,0.23076923,0.333333333,0.384615384,0.3188951214154561,3137
2020,"Jeff Samardzija","SFG",5.1,24,13.5001,8,1,0,8,8,2,0,0,0,1,0.333333333,0.333333333,0.625,0.4003148724635442,3254
2020,"Anibal Sanchez","WSN",10,41,7.2,11,3,0,8,8,3,1,0,0,9,0.275,0.292682926,0.575,0.36003340308259174,3284
2020,"Danny Duffy","KCR",5.2,25,7.9411,7,0,0,5,5,2,2,0,0,8,0.304347826,0.36,0.565217391,0.39062425136566165,3542
2020,"Liam Hendriks","OAK",6.1,23,1.4211,3,0,0,1,1,0,1,1,0,6,0.136363636,0.173913043,0.136363636,0.12025211074135521,3548
2020,"Yusmeiro Petit","OAK",5,22,1.8,7,1,0,1,1,0,1,0,0,6,0.35,0.363636363,0.4,0.3284927796233784,4020
2020,"Derek Holland","PIT",15,72,7.2,20,4,0,12,12,7,7,0,2,16,0.317460317,0.402777777,0.714285714,0.45958837452862,4141
2020,"Jake Arrieta","PHI",6.2,29,1.35,9,0,0,1,1,0,2,0,0,7,0.333333333,0.379310344,0.333333333,0.3218104962644906,4153
2020,"Charlie Morton","TBR",6.1,29,2.8421,9,2,0,2,2,0,1,0,0,3,0.333333333,0.344827586,0.407407407,0.322293300053169,4676
2020,"Rich Hill","MIN",7,28,5.1429,5,0,0,4,4,1,3,0,0,3,0.2,0.285714285,0.32,0.2714800515345165,4806
2020,"Jon Lester","CHC",12.1,58,10.2162,20,1,1,14,14,7,1,0,0,9,0.350877192,0.362068965,0.771929824,0.46648295275096235,4930
2020,"Jake Diekman","OAK",5,19,0,2,0,0,0,0,0,2,0,0,6,0.125,0.222222222,0.125,0.1755312614970737,5003
2020,"Wade LeBlanc","BAL",7.1,33,7.3637,10,0,0,6,6,3,1,0,0,5,0.3125,0.333333333,0.59375,0.3882309071945422,5221
2020,"Nik Turley","PIT",5,20,1.8,3,1,0,2,1,0,1,0,0,3,0.157894736,0.2,0.210526315,0.18497229516506195,5530
2020,"Alex Cobb","BAL",11.1,48,4.7647,11,4,0,6,6,2,4,0,0,8,0.25,0.3125,0.477272727,0.3356819649537404,6562
2020,"Carlos Carrasco","CLE",10.1,43,5.2258,9,3,0,6,6,1,3,0,0,15,0.23076923,0.279069767,0.384615384,0.2836450574009918,6632
2020,"Johnny Cueto","SFG",13.2,54,3.9512,11,3,0,6,6,1,2,0,1,13,0.215686274,0.259259259,0.333333333,0.2590759076454021,6893
2020,"Chase Anderson","TOR",7.2,30,0,7,1,0,1,0,0,1,0,0,6,0.24137931,0.266666666,0.275862068,0.24089470505714417,6895
2020,"Martin Perez","BOS",9.1,40,5.7857,9,3,0,7,6,1,3,0,0,5,0.243243243,0.3,0.405405405,0.3049184367060661,6902
2020,"Joakim Soria","OAK",7,29,1.2857,6,0,0,2,1,0,1,0,0,10,0.23076923,0.24137931,0.23076923,0.20651811772379383,6941
2020,"Craig Stammen","SDP",5,18,1.8,2,2,0,2,1,0,0,0,0,5,0.111111111,0.111111111,0.222222222,0.13753508196936715,7274
2020,"J.A. Happ","NYY",7.1,31,3.6818,4,1,0,3,3,1,6,0,0,4,0.16,0.322580645,0.32,0.29578571550307736,7410
