Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",8,28,5.625,0,5,0,0.1786,0,0.1786,0.178571428,0.625,0.2174,0.8,1.905410957336426,4.104029371216893,1943
2020,"Adam Wainwright","STL",8.1,35,8.64,3.24,2.6667,0,0.2286,0.0857,0.1429,0.193548387,1.08,0.2609,0.6,2.675409037336426,4.551570921820949,2233
2020,"Lance Lynn","TEX",9.1,39,11.5715,4.8214,2.4,0.9643,0.3077,0.1282,0.1795,0.151515151,1.0714,0.2,0.9375,3.905413635336426,4.606481295807128,2520
2020,"Rick Porcello","NYM",5.1,27,5.0625,0,3,1.6875,0.1111,0,0.1111,0.576923076,2.8125,0.6364,0.4795,5.0304226753364265,4.791539597020892,2717
2020,"Max Scherzer","WSN",6.2,30,14.8499,4.05,3.6667,1.35,0.3667,0.1,0.2667,0.23076923,1.35,0.3571,0.6977,3.605408707336426,2.5348614256362714,3137
2020,"Jeff Samardzija","SFG",5.1,24,1.6875,0,1,3.375,0.0417,0,0.0417,0.333333333,1.5,0.2857,0,7.655439082336426,7.910550309345133,3254
2020,"Anibal Sanchez","WSN",10,41,8.1,0.9,9,2.7,0.2195,0.0244,0.1951,0.275,1.2,0.2857,0.5128,5.555410957336425,4.586902175843716,3284
2020,"Danny Duffy","KCR",5.2,25,12.7058,3.1765,4,3.1765,0.32,0.08,0.24,0.304347826,1.5882,0.3846,0.6452,5.978923759336427,3.4599912022813073,3542
2020,"Liam Hendriks","OAK",6.1,23,8.5264,1.4211,6,0,0.2609,0.0435,0.2174,0.136363636,0.6316,0.1875,0.75,1.734350847336426,3.277249082014603,3548
2020,"Yusmeiro Petit","OAK",5,22,10.8,1.8,6,0,0.2727,0.0455,0.2273,0.35,1.6,0.4667,0.875,1.355410957336426,3.309738436341286,4020
2020,"Derek Holland","PIT",15,72,9.6,4.2,2.2857,4.2,0.2222,0.0972,0.125,0.317460317,1.8,0.325,0.8854,8.888744290336426,5.297559097409248,4141
2020,"Jake Arrieta","PHI",6.2,29,9.45,2.7,3.5,0,0.2414,0.069,0.1724,0.333333333,1.65,0.45,0.9091,1.955416957336426,3.12800758175622,4153
2020,"Charlie Morton","TBR",6.1,29,4.2632,1.4211,3,0,0.1034,0.0345,0.069,0.333333333,1.579,0.36,0.8,2.681724254336426,5.767520724763928,4676
2020,"Rich Hill","MIN",7,28,3.8571,3.8571,1,1.2857,0.1071,0.1071,0,0.2,1.1429,0.1905,0.6061,5.441125242336426,5.538309864912714,4806
2020,"Jon Lester","CHC",12.1,58,6.5676,0.7297,9,5.1081,0.1552,0.0172,0.1379,0.350877192,1.7027,0.3171,0.625,9.317589773336426,4.633001475939121,4930
2020,"Jake Diekman","OAK",5,19,10.8,3.6,3,0,0.3158,0.1053,0.2105,0.125,0.8,0.1818,1,1.955410957336426,3.128007444739342,5003
2020,"Wade LeBlanc","BAL",7.1,33,6.1364,1.2273,5,3.6818,0.1515,0.0303,0.1212,0.3125,1.5,0.2917,0.7353,7.519067155336426,5.132365707456216,5221
2020,"Nik Turley","PIT",5,20,5.4,1.8,3,0,0.15,0.05,0.1,0.157894736,0.8,0.1875,0.5,2.555410957336426,4.118872940540314,5530
2020,"Alex Cobb","BAL",11.1,48,6.353,3.1765,2,1.5882,0.1667,0.0833,0.0833,0.25,1.3235,0.2647,0.7377,5.096593136336425,4.009556912445178,6562
2020,"Carlos Carrasco","CLE",10.1,43,13.0646,2.6129,5,0.871,0.3488,0.0698,0.2791,0.23076923,1.1613,0.3333,0.566,2.381214912336426,3.3926952467752614,6632
2020,"Johnny Cueto","SFG",13.2,54,8.561,1.3171,6.5,0.6585,0.2407,0.037,0.2037,0.215686274,0.9512,0.2703,0.6349,2.862728745336426,3.9135006721957586,6893
2020,"Chase Anderson","TOR",7.2,30,7.0434,1.1739,6,0,0.2,0.0333,0.1667,0.24137931,1.0435,0.3043,0.875,1.981503018336426,3.7658812187310313,6895
2020,"Martin Perez","BOS",9.1,40,4.8214,2.8929,1.6667,0.9643,0.125,0.075,0.05,0.243243243,1.2857,0.2581,0.4717,4.441129834336426,5.3515904725189944,6902
2020,"Joakim Soria","OAK",7,29,12.8571,1.2857,10,0,0.3448,0.0345,0.3103,0.23076923,1,0.3333,0.7143,0.7268395293364258,2.9603566476276946,6941
2020,"Craig Stammen","SDP",5,18,9,0,5,0,0.2778,0,0.2778,0.111111111,0.4,0.1538,0,1.155410957336426,3.109738436341286,7274
2020,"J.A. Happ","NYY",7.1,31,4.9091,7.3637,0.6667,1.2273,0.129,0.1935,-0.0645,0.16,1.3636,0.15,0.814,6.2917888493364265,7.717058475924009,7410
2020,"Gio Gonzalez","CHW",9,46,12,4,3,2,0.2609,0.087,0.1739,0.357142857,2.1111,0.4643,0.5556,4.710966512336426,2.690667614671919,7448
2020,"Jordan Lyles","TEX",8.2,38,6.2307,3.1154,2,3.1154,0.1579,0.0789,0.0789,0.28125,1.3846,0.24,0.7955,7.655393649336426,6.988884729716065,7593
2020,"Tommy Milone","BAL",10.2,50,10.9687,0,13,1.6875,0.26,0,0.26,0.346938775,1.5937,0.4286,0.6338,3.1554109573364255,2.9165301177195166,7608
2020,"Mike Fiers","OAK",8,41,1.125,1.125,1,2.25,0.0244,0.0244,0,0.435897435,2.25,0.4167,0.679,6.905410957336426,7.319774980470538,7754
2020,"Brett Anderson","MIL",10,44,4.5,1.8,2.5,2.7,0.1136,0.0455,0.0682,0.325,1.5,0.303,0.7627,6.955410957336426,5.205171184241772,8223
2020,"Nathan Eovaldi","BOS",5.2,27,9.5294,1.5882,6,1.5882,0.2222,0.037,0.1852,0.346153846,1.7647,0.4211,0.814,3.861289157336426,2.6018228790924,9132
2020,"Patrick Corbin","WSN",14,58,10.9286,1.2857,8.5,1.2857,0.2931,0.0345,0.2586,0.267857142,1.2143,0.3514,0.8451,3.012553815336426,2.830548796483449,9323
2020,"Josh Tomlin","ATL",7.2,27,9.3913,0,8,2.3478,0.2963,0,0.2963,0.185185185,0.6522,0.1765,0.9091,4.459753112336426,3.1077528817679125,9388
2020,"Dallas Keuchel","CHW",14,53,5.1429,1.2857,4,0,0.1509,0.0377,0.1132,0.176470588,0.7857,0.2093,0.8182,2.441125243336426,3.278694162624223,9434
2020,"Garrett Richards","SDP",6.2,29,9.45,2.7,3.5,0,0.2414,0.069,0.1724,0.296296296,1.5,0.4,0.7,1.955416957336426,4.007450550093565,9784
2020,"Mike Minor","TEX",8,37,12.375,5.625,2.2,2.25,0.2973,0.1351,0.1622,0.25,1.625,0.3158,0.5882,5.530410957336426,4.479029371216893,10021
2020,"Kyle Gibson","TEX",8.1,35,7.56,2.16,3.5,2.16,0.2,0.0571,0.1429,0.28125,1.32,0.3043,0.3261,5.6754210373364264,3.728009735134453,10123
2020,"Ryan Weber","BOS",5.1,28,6.75,5.0625,1.3333,0,0.1429,0.1071,0.0357,0.291666666,1.875,0.3333,0.6,3.342912128336426,5.1751055919949485,10160
2020,"Zack Wheeler","PHI",9.2,38,3.7241,2.7931,1.3333,0,0.1053,0.0789,0.0263,0.264705882,1.2414,0.3,0.8462,3.5692026333364257,4.5800581890726235,10310
2020,"Mychal Givens","BAL",5.1,20,11.8126,5.0625,2.3333,0,0.35,0.15,0.2,0.058823529,0.75,0.1,1,2.217905098336426,4.782975945811483,10430
2020,"Asher Wojciechowski","BAL",7.1,35,7.3637,2.4546,3,4.9091,0.1714,0.0571,0.1143,0.322580645,1.6364,0.2609,1,9.428166742336426,5.5352303767053765,10836
2020,"Jacob deGrom","NYM",7.2,29,11.7391,1.1739,10,1.1739,0.3448,0.0345,0.3103,0.214285714,0.913,0.2941,0.8929,2.633674095336426,2.722407494703744,10954
2020,"Merrill Kelly","ARI",7,30,12.8571,1.2857,10,1.2857,0.3333,0.0333,0.3,0.24137931,1.1429,0.3333,1,2.5839823863364257,2.122787728054183,11156
2020,"Robbie Ray","ARI",10.1,51,9.5807,10.4516,0.9167,2.6129,0.2157,0.2353,-0.0196,0.216216216,1.9355,0.2083,0.8333,8.574783277336426,8.394029994922903,11486
2020,"James Paxton","NYY",9.2,42,10.2413,4.6552,2.2,1.8621,0.2619,0.119,0.1429,0.25,1.4483,0.2917,0.5357,5.120921420336426,6.07035552188146,11828
2020,"Taijuan Walker","SEA",10.1,38,9.5807,2.6129,3.6667,0,0.2895,0.0789,0.2105,0.06060606,0.4839,0.087,0.6667,2.187665900336426,4.078956658133713,11836
2020,"Kyle Hendricks","CHC",13.1,55,4.725,1.35,3.5,1.35,0.1273,0.0364,0.0909,0.269230769,1.2,0.2727,0.9091,4.505414332336426,4.021158730959505,12049
2020,"Chris Bassitt","OAK",8,40,5.625,4.5,1.25,0,0.125,0.1,0.025,0.277777777,1.75,0.3226,0.7143,3.405410957336426,5.115447501465678,12304
2020,"Blake Treinen","LAD",5,17,9,1.8,5,0,0.2941,0.0588,0.2353,0.1875,0.8,0.2727,1,1.755410957336426,2.146276453137398,12572
2020,"Ryne Harper","WSN",5.1,26,10.1251,1.6875,6,1.6875,0.2308,0.0385,0.1923,0.333333333,1.6875,0.4118,0.6977,4.467919160336426,4.595474773929158,12680
2020,"Sonny Gray","CIN",10.2,40,17.7187,1.6875,10.5,0.8437,0.525,0.05,0.475,0.157894736,0.75,0.3125,0.7576,0.9991676963364253,0.14685676138169912,12768
2020,"Burch Smith","OAK",6.2,20,6.75,0,5,0,0.25,0,0.25,0,0,0,1,1.655418457336426,4.000599706198513,12784
2020,"Noe Ramirez","LAA",5.1,19,6.75,5.0625,1.3333,0,0.2105,0.1579,0.0526,0.142857142,0.9375,0.1818,1,3.905415644336426,5.371170415086682,12800
2020,"Mike Clevinger","CLE",6,25,7.5,4.5,1.6667,3,0.2,0.12,0.08,0.19047619,1.1667,0.1333,1,7.322077623336426,5.92023550917705,12808
2020,"Tyler Anderson","SFG",10.1,39,3.4839,2.6129,1.3333,0,0.1026,0.0769,0.0256,0.138888888,0.7742,0.1563,1,3.252185462336426,6.467379751727629,12880
2020,"Dylan Bundy","LAA",7.1,27,14.7273,2.4546,6,0,0.4444,0.0741,0.3704,0.083333333,0.5455,0.1667,1,1.1099471143364266,2.442449179558932,12917
2020,"Yu Darvish","CHC",11,44,14.7273,1.6364,9,0.8182,0.4091,0.0455,0.3636,0.238095238,1.0909,0.3913,0.9434,1.609956412336426,1.8494673057035969,13074
2020,"Gerrit Cole","NYY",11,39,12.2727,0,15,0.8182,0.3846,0,0.3846,0.179487179,0.6364,0.2609,1,1.609956412336426,1.4941350367936224,13125
2020,"Zach Davies","SDP",7,27,12.8571,1.2857,10,1.2857,0.3704,0.037,0.3333,0.2,0.8571,0.2667,0.8696,2.5839823863364257,2.4019773679120204,13183
2020,"Ross Stripling","LAD",7.1,39,6.1364,2.4546,2.5,6.1364,0.1282,0.0513,0.0769,0.416666666,2.3182,0.3704,0.5,11.473630585336426,6.0744593021557,13273
2020,"Steven Matz","NYM",13.2,56,9.2195,0.6585,14,3.2927,0.25,0.0179,0.2321,0.254545454,1.0976,0.25,0.875,6.0822330863364265,3.614134691967153,13361
2020,"Taylor Rogers","MIN",6,23,10.5,0,7,0,0.3043,0,0.3043,0.260869565,1,0.375,0.6667,0.8220776243364263,2.124962610006333,13449
2020,"Blake Snell","TBR",7.2,33,16.4347,4.6956,3.5,1.1739,0.4242,0.1212,0.303,0.206896551,1.3043,0.3571,0.9302,2.764108311336426,2.0881081955248826,13543
2020,"Max Fried","ATL",14.1,56,8.1628,2.5116,3.25,0,0.2321,0.0714,0.1607,0.23076923,1.1163,0.3077,0.875,2.178664500336426,3.4058032125075126,13743
2020,"Zach Eflin","PHI",7,22,15.4286,0,12,0,0.5455,0,0.5455,0.045454545,0.1429,0.1,1,-0.2731604706635742,0.8435980881963459,13774
2020,"Alec Mills","CHC",6.1,26,5.6842,4.2632,1.3333,0,0.1538,0.1154,0.0385,0.136363636,0.9474,0.1667,0.8571,3.786993228336426,5.021311817238757,13834
2020,"Kevin Gausman","SFG",8,38,16.875,1.125,15,1.125,0.3947,0.0263,0.3684,0.351351351,1.75,0.5714,0.6349,1.405410957336426,0.5132837619632484,14107
2020,"Lance McCullers Jr.","HOU",7.2,33,9.3913,4.6956,2,1.1739,0.2424,0.1212,0.1212,0.222222222,1.3043,0.2778,0.8491,5.111924189336426,3.671190559904005,14120
2020,"Jose Berrios","MIN",9,38,15,3,5,1,0.3947,0.0789,0.3158,0.235294117,1.2222,0.3889,0.7547,2.599855402336426,2.458295943339666,14168
2020,"Frankie Montas","OAK",11.2,45,7.7143,2.3143,3.3333,0,0.2222,0.0667,0.1556,0.15,0.7714,0.1935,0.9,2.469698631336426,4.479858294463319,14309
2020,"Tyler Glasnow","TBR",6.1,31,19.8948,5.6842,3.5,2.8421,0.4516,0.129,0.3226,0.296296296,1.8947,0.5455,0.7609,4.734366635336426,1.554820812706388,14374
2020,"Hyun Jin Ryu","TOR",8.2,39,11.423,3.1154,3.6667,2.0769,0.2821,0.0769,0.2051,0.277777777,1.5,0.3478,0.6863,4.6554051873364255,3.233905926936622,14444
2020,"Jorge Lopez","BAL",5.1,22,6.75,1.6875,4,0,0.1818,0.0455,0.1364,0.263157894,1.125,0.3125,0.4286,2.7804086143364257,4.246163383792736,14527
2020,"Julio Urias","LAD",12.2,50,4.9737,2.1316,2.3333,0.7105,0.14,0.06,0.08,0.234042553,1.1053,0.2564,0.873,3.786988242336426,5.0750042361756575,14765
2020,"Zack Godley","BOS",6.1,32,7.1053,1.4211,5,1.4211,0.1563,0.0313,0.125,0.366666666,1.8947,0.4167,0.9483,4.576471067336426,5.301045509788345,14862
2020,"Jon Gray","COL",8.2,36,5.1923,1.0385,5,0,0.1389,0.0278,0.1111,0.257142857,1.1538,0.3,0.4,2.347721756336426,4.377207870930267,14916
2020,"Chad Kuhl","PIT",6.2,26,9.45,2.7,3.5,1.35,0.2692,0.0769,0.1923,0.166666666,0.9,0.1875,1,3.905407207336426,4.007450550093565,14975
2020,"Kyle Finnegan","WSN",5,19,12.6,1.8,7,0,0.3684,0.0526,0.3158,0.222222222,1,0.3636,0.6,0.9554109573364258,2.128007444739342,15009
2020,"German Marquez","COL",7.1,35,8.5909,2.4546,3.5,0,0.2,0.0571,0.1429,0.363636363,1.9091,0.4615,0.6429,2.0644969083364266,3.3969989729670838,15038
2020,"Austin Voth","WSN",7,29,6.4286,3.8571,1.6667,2.5714,0.1724,0.1034,0.069,0.2,1.1429,0.1667,0.4839,7.155410957336426,6.791400921344757,15047
2020,"Steven Brault","PIT",8.2,35,4.1538,7.2692,0.5714,0,0.1143,0.2,-0.0857,0.178571428,1.3846,0.2083,0.6667,4.6554051873364255,6.00839593132066,15291
2020,"Andrew Heaney","LAA",6.2,26,12.1499,4.05,3,0,0.3462,0.1154,0.2308,0.173913043,1.05,0.2857,0.7143,1.805417707336426,3.5643036439773668,15423
