Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Todd Frazier","TEX",26,65,57,11,6,4,0,1,7,2,6,0,16,2,0,0,0,0,0,0.192982456,785
2020,"Albert Pujols","LAA",19,50,46,10,6,2,0,2,6,6,4,1,10,0,0,0,1,0,0,0.217391304,1177
2020,"Wilson Ramos","NYM",21,59,54,9,8,1,0,0,1,2,2,0,10,2,1,0,2,0,0,0.166666666,1433
2020,"Miguel Cabrera","DET",28,92,80,13,10,0,0,3,6,11,9,0,20,1,2,0,0,0,0,0.1625,1744
2020,"David Peralta","ARI",30,98,90,28,20,5,1,2,12,17,7,0,14,0,1,0,4,1,0,0.311111111,2136
2020,"Edwin Encarnacion","CHW",18,56,53,9,5,2,0,2,4,4,2,0,22,1,0,0,2,0,0,0.16981132,2151
2020,"Carlos Santana","CLE",30,94,66,13,11,1,0,1,12,9,26,0,15,1,1,0,1,0,0,0.196969696,2396
2020,"Nelson Cruz","MIN",29,93,82,24,14,3,0,7,15,18,9,1,28,2,0,0,1,0,0,0.292682926,2434
2020,"Manny Pina","MIL",13,23,20,5,3,0,0,2,4,4,1,0,7,2,0,0,0,0,0,0.25,2829
2020,"Roberto Perez","CLE",9,22,17,2,2,0,0,0,1,1,4,0,7,1,0,0,0,0,0,0.117647058,2900
2020,"Tommy Pham","SDP",22,73,63,11,10,0,0,1,5,8,9,0,16,1,0,0,2,3,0,0.174603174,2967
2020,"Mitch Moreland","BOS",19,59,48,17,6,4,0,7,13,18,11,1,11,0,0,0,0,0,0,0.354166666,3086
2020,"Robinson Chirinos","TEX",13,25,22,3,3,0,0,0,1,2,2,0,8,0,1,0,0,0,0,0.136363636,3142
2020,"Shin-Soo Choo","TEX",21,61,51,12,9,1,0,2,3,7,8,1,16,1,1,0,1,3,1,0.235294117,3174
2020,"Robinson Cano","NYM",19,48,43,17,13,1,0,3,7,10,4,0,5,0,1,0,3,0,0,0.395348837,3269
2020,"Matt Joyce","MIA",18,57,49,15,12,2,0,1,9,5,8,0,17,0,0,0,1,0,0,0.306122448,3353
2020,"Ryan Braun","MIL",12,40,39,8,3,5,0,0,1,4,1,0,9,0,0,0,0,1,0,0.205128205,3410
2020,"Jeff Mathis","TEX",10,22,18,4,2,0,1,1,2,3,4,0,6,0,0,0,0,0,0,0.222222222,3448
2020,"Anthony Rizzo","CHC",28,84,70,17,10,2,0,5,10,9,10,0,19,4,0,0,0,0,1,0.242857142,3473
2020,"Eric Hosmer","SDP",18,53,48,13,6,3,0,4,9,14,4,0,8,1,0,0,1,2,0,0.270833333,3516
2020,"Eric Thames","WSN",21,60,52,12,8,3,0,1,4,5,6,0,16,2,0,0,2,0,0,0.23076923,3711
2020,"Josh Reddick","HOU",29,73,62,16,11,3,1,1,8,4,9,0,13,0,1,0,1,0,0,0.258064516,3892
2020,"Dexter Fowler","STL",16,47,42,12,9,1,0,2,5,7,4,0,13,1,0,0,1,0,0,0.285714285,4062
2020,"Michael Brantley","HOU",18,55,49,13,7,5,0,1,7,7,6,0,8,0,0,0,0,1,0,0.265306122,4106
2020,"Howie Kendrick","WSN",16,49,43,13,11,2,0,0,5,6,4,2,11,0,2,0,1,0,0,0.302325581,4229
2020,"Joey Votto","CIN",23,78,66,14,9,3,0,2,7,7,12,1,9,0,0,0,3,0,0,0.212121212,4314
2020,"Daniel Murphy","COL",26,68,61,17,12,2,0,3,5,11,5,1,9,0,1,0,1,0,0,0.278688524,4316
2020,"Starlin Castro","WSN",15,46,44,8,5,1,0,2,5,3,2,0,10,0,0,0,0,0,0,0.181818181,4579
2020,"Jarrod Dyson","PIT",18,49,46,7,7,0,0,0,5,3,3,0,9,0,0,0,0,4,0,0.152173913,4866
2020,"Mike Moustakas","CIN",14,36,30,6,3,1,0,2,2,8,4,0,11,1,1,0,0,0,0,0.2,4892
2020,"Ender Inciarte","ATL",22,67,59,13,11,2,0,0,7,5,7,0,8,0,1,0,0,4,0,0.220338983,4922
2020,"Jason Heyward","CHC",22,58,49,15,8,3,2,2,11,9,8,0,10,1,0,0,1,1,0,0.306122448,4940
